Sex;Age;Region;Fstat;Children;Ed;Emp;Years;Group;Comp;Market;Sphere;Interview;DigitalTech;Vid;Chat;Lk;Social1;Social2;Social3;AI;VR;AdvVR;AdvDig;DisadvDig;Level
Женский;18–24;Москва и МО;Не женат/ не замужем;1 ребенок;Бакалавриат;Я еще только учусь/ не работал(-а);До 1 года;Я еще только учусь/ не работал(-а);Не работал(-а) в организациях;Не работал(-а);Не работал(-а);Никогда не проходил(-а) отбор в компанию;Никакими;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;1;Не пользуюсь социальными сетями для поиска работы;Нейтрально;Нейтрально;Нет;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;2
Женский;18–24;Москва и МО;Женат/замужем;1 ребенок;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Представитель HR-функции;Российская компания (численность сотрудников в России свыше 500 чел.);Товары народного потребления (пищевые);Управление персоналом;Меньше года назад/ но более 2-месяцев назад;Сервис для видеоинтервью/ Чат-боты/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети;Занимают много времени/ не вижу в них пользы для соискателя;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат вполне устраивает;5;LinkedIn/ Telegram/ ВКонтакте;Положительно;Отрицательно;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора;Слишком сложны в использовании;4
Женский;18–24;Москва и МО;Не женат/ не замужем;Нет детей;Бакалавриат;Работаю в компании (неполная занятость);От 5-ти лет до 7-ми лет;Специалист;Международная компания (численность сотрудников в России свыше 500 чел.);Консалтинг;Управление персоналом;В последние 2 месяца;Сервис для видеоинтервью/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя);Занимают много времени/ не вижу в них пользы для соискателя;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;2;Не пользуюсь социальными сетями для поиска работы;Положительно;Положительно;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Слишком сложны в использовании;3
Мужской;25–31;Москва и МО;Женат/замужем;Нет детей;Магистратура;Работаю в компании (полная занятость);От 5-ти лет до 7-ми лет;Специалист;Международная компания (численность сотрудников в России свыше 500 чел.);Финансовый сектор (банки/ страховые и инвестиционные компании);Финансы и Бухгалтерия;В последние 2 месяца;Сервис для видеоинтервью/ Социальные сети/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Затрудняюсь ответить;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;3;ВКонтакте;Положительно;Положительно;Нет;Затрудняюсь ответить;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Слишком сложны в использовании;3
Женский;18–24;Москва и МО;Женат/замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Международная компания (численность сотрудников в России свыше 500 чел.);Фармацевтическая отрасль;Административная функция;От 2-х лет до 4-х лет назад;Сервис для видеоинтервью/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Сервисы для онлайн-оценки навыков и компетенций;Это не всегда удобно для кандидата/ тк обычно в таких сервисах время на ответ ограничено/ и ты не можешь сказать все/ что хотел. Не вижу ничего отрицательного в общении с рекрутеров. ;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;1;Instagram/ Telegram/ ВКонтакте;Нейтрально;Отрицательно;Нет;Затрудняюсь ответить;Не вижу в них никаких плюсов для соискателя;Никак не влияют на скорость трудоустройства;2
Женский;18–24;Москва и МО;Не женат/ не замужем;Нет детей;Бакалавриат;Я еще только учусь/ не работал(-а);До 1 года;Я еще только учусь/ не работал(-а);Не работал(-а) в организациях;Не работал(-а);Не работал(-а);Никогда не проходил(-а) отбор в компанию;Сервис для видеоинтервью/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети/ Сервисы для онлайн-оценки навыков и компетенций/ Просто видела в интернете/ не собственный опыт;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;2;ВКонтакте;Отрицательно;Положительно;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Точно всё придёт роботодателю;Зачастую нет адаптации на русский язык;4
Женский;18–24;Москва и МО;Женат/замужем;1 ребенок;Магистратура;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Международная компания (численность сотрудников в России свыше 500 чел.);Медиа / Индустрия развлечений;Маркетинг / PR / Реклама/ Digital;Меньше года назад/ но более 2-месяцев назад;Никакими;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером)/ Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;2;Не пользуюсь социальными сетями для поиска работы;Отрицательно;Отрицательно;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Ускоряют процесс подбора;Затрудняюсь ответить;1
Женский;18–24;Москва и МО;Не женат/ не замужем;1 ребенок;Магистратура;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Российская компания (численность сотрудников в России до 100 чел.);Медиа / Индустрия развлечений;Административная функция;Меньше года назад/ но более 2-месяцев назад;Сервис для видеоинтервью/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером)/ С одной стороны это экономит время рекрутера/ с другой может плохо раскрыть соискателя;Затрудняюсь ответить;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;5;Telegram/ ВКонтакте;Нейтрально;Нейтрально;Нет;Затрудняюсь ответить;Ускоряют процесс подбора;Стандартные шаблоны не всегда годятся для ситуации;4
Женский;18–24;Москва и МО;Женат/замужем;Нет детей;Бакалавриат;Я еще только учусь/ не работал(-а);До 1 года;Я еще только учусь/ не работал(-а);Не работал(-а) в организациях;Не работал(-а);Не работал(-а);Никогда не проходил(-а) отбор в компанию;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ не вижу в них пользы для соискателя;Наблюдаю много ошибок и неточностей в работе чат-бота/ Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Затрудняюсь ответить;1;Не пользуюсь социальными сетями для поиска работы;Отрицательно;Отрицательно;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Затрудняюсь ответить;Затрудняюсь ответить;2
Женский;18–24;Москва и МО;Женат/замужем;Нет детей;Магистратура;Работаю в компании (полная занятость);От 5-ти лет до 7-ми лет;Представитель HR-функции;Международная компания (численность сотрудников в России от 100 до 500 чел.);Финансовый сектор (банки/ страховые и инвестиционные компании);Управление персоналом;От 2-х лет до 4-х лет назад;Сервис для видеоинтервью/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Наблюдаю много ошибок и неточностей в работе чат-бота;Такой формат вполне устраивает;3;LinkedIn;Положительно;Нейтрально;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Зачастую их используют в неполной мере;3
Мужской;18–24;Москва и МО;Не женат/ не замужем;1 ребенок;Магистратура;Работаю в компании (полная занятость);От 5-ти лет до 7-ми лет;Специалист;Российская компания (численность сотрудников в России свыше 500 чел.);Финансовый сектор (банки/ страховые и инвестиционные компании);IT корпоративные;Меньше года назад/ но более 2-месяцев назад;Сервис для видеоинтервью/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Затрудняюсь ответить;Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;2;Facebook/ LinkedIn/ Instagram/ Telegram;Положительно;Нейтрально;Нет;Затрудняюсь ответить;Ускоряют процесс подбора/ Делают процесс подбора более увлекательным;Никак не влияют на скорость трудоустройства/ Затрудняюсь ответить;3
Мужской;39–45;Москва и МО;Женат/замужем;1 ребенок;Специалитет;Работаю в компании (полная занятость);От 7-ми лет до 9-ти лет;Специалист;Международная компания (численность сотрудников в России до 100 чел.);Строительные материалы / Инструменты;Продажи;Меньше года назад/ но более 2-месяцев назад;Сервис для видеоинтервью/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером)/ Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Затрудняюсь ответить;Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;3;Facebook/ LinkedIn;Положительно;Нейтрально;Нет;Затрудняюсь ответить;Ускоряют процесс подбора/ Делают процесс подбора более увлекательным;Затрудняюсь ответить;3
Мужской;25–31;Санкт-Петербург;Не женат/ не замужем;Нет детей;Магистратура;Меня сократили;От 3-х лет до 5-ти лет;Специалист;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Закупки/ Логистика/ Склад/ ВЭД;Меньше года назад/ но более 2-месяцев назад;Сервис для видеоинтервью/ Чат-боты/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ не вижу в них пользы для соискателя;Наблюдаю много ошибок и неточностей в работе чат-бота/ Инструмент полезный/ но компании неуместно его применяют;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;4;Facebook/ LinkedIn/ Instagram/ Telegram/ ВКонтакте;Положительно;Отрицательно;Нет;Затрудняюсь ответить;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Нет минусов;4
Женский;25–31;Москва и МО;Женат/замужем;3-е детей;Специалитет;Работаю в компании (полная занятость);От 7-ми лет до 9-ти лет;Специалист;Российская компания (численность сотрудников в России от 100 до 500 чел.);Государственный сектор;Юриспруденция;Более 4-х лет назад;Сервис для видеоинтервью;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Инструмент полезный/ но компании неуместно его применяют;Если компания предлагает только такой формат подачи отклика/ я отказываюсь от отправки резюме;3;Facebook/ LinkedIn;Положительно;Положительно;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора;Делают процесс подбора более увлекательным;Зачастую нет адаптации на русский язык;3
Мужской;32–38;Москва и МО;Женат/замужем;3-е детей;Специалитет;Работаю в компании (полная занятость);От 5-ти лет до 7-ми лет;Собственник бизнеса;Российская компания (численность сотрудников в России до 100 чел.);Информационные технологии;Маркетинг / PR / Реклама/ Digital;Более 4-х лет назад;Никакими;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Затрудняюсь ответить;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат вполне устраивает;1;Не пользуюсь социальными сетями для поиска работы;Нейтрально;Нейтрально;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Делают процесс подбора более увлекательным;Затрудняюсь ответить;2
Мужской;18–24;Москва и МО;Не женат/ не замужем;Нет детей;Магистратура;Работаю в компании (полная занятость);От 1 года до 3-х лет;Представитель HR-функции;Международная компания (численность сотрудников в России свыше 500 чел.);Консалтинг;Управление персоналом;В последние 2 месяца;Сервис для видеоинтервью/ Чат-боты/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети/ Инструменты на основе VR (виртуальной реальности) и AR (дополненной реальности)/ Сервисы для онлайн-оценки навыков и компетенций;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Если компания предлагает только такой формат подачи отклика/ я отказываюсь от отправки резюме;4;Facebook/ LinkedIn/ Telegram;Положительно;Нейтрально;Да;Позволяют увлекательно пройти оценку в компании при процессе подбора;Ускоряют процесс подбора/ Делают процесс подбора более увлекательным;Зачастую нет адаптации на русский язык/ Нет минусов;4
Женский;25–31;Южный ФО / Северо-Кавказский ФО / Крым;Не женат/ не замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 5-ти лет до 7-ми лет;Специалист;Российская компания (численность сотрудников в России свыше 500 чел.);Оптово-розничная торговля;E-commerce;От 2-х лет до 4-х лет назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя);Занимают много времени/ не вижу в них пользы для соискателя;Наблюдаю много ошибок и неточностей в работе чат-бота;Такой формат вполне устраивает;2;Не пользуюсь социальными сетями для поиска работы;Нейтрально;Отрицательно;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Ускоряют процесс подбора;Слишком сложны в использовании;3
Женский;25–31;Москва и МО;Женат/замужем;2-е детей;Специалитет;Я еще только учусь/ не работал(-а);От 1 года до 3-х лет;Специалист;Российская компания (численность сотрудников в России свыше 500 чел.);Телекоммуникации / Связь;Юриспруденция;Меньше года назад/ но более 2-месяцев назад;Никакими;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;4;Затрудняюсь ответить;Нейтрально;Нейтрально;Затрудняюсь ответить;Затрудняюсь ответить;Не вижу в них никаких плюсов для соискателя;Затрудняюсь ответить;4
Женский;18–24;Южный ФО / Северо-Кавказский ФО / Крым;Не женат/ не замужем;Нет детей;Бакалавриат;Работаю в компании (неполная занятость);До 1 года;Стажер/ассистент;Не работал(-а) в организациях;Товары народного потребления (пищевые);Продажи;От 2-х лет до 4-х лет назад;Никакими;Затрудняюсь ответить;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат вполне устраивает;3;Instagram/ ВКонтакте;Положительно;Нейтрально;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Никак не влияют на скорость трудоустройства/ Слишком сложны в использовании;2
Женский;32–38;Южный ФО / Северо-Кавказский ФО / Крым;Женат/замужем;3-е детей;Специалитет;Работаю в компании (неполная занятость);От 9-ти лет до 11-ти лет;Специалист;Российская компания (численность сотрудников в России от 100 до 500 чел.);Финансовый сектор (банки/ страховые и инвестиционные компании);Продажи;От 2-х лет до 4-х лет назад;Никакими;Затрудняюсь ответить;Затрудняюсь ответить;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат вполне устраивает;1;Не пользуюсь социальными сетями для поиска работы;Положительно;Положительно;Нет;Затрудняюсь ответить;Ускоряют процесс подбора;Нет минусов;3
Женский;46–52;Центральный ФО/ исключая Москву и МО;Женат/замужем;2-е детей;Среднее профессиональное;Меня уволили;15 и более лет;Специалист;Российская компания (численность сотрудников в России до 100 чел.);Оптово-розничная торговля;Продажи;Более 4-х лет назад;Социальные сети;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;1;Не пользуюсь социальными сетями для поиска работы;Отрицательно;Отрицательно;Нет;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;1
Женский;25–31;Москва и МО;Не женат/ не замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 7-ми лет до 9-ти лет;Специалист;Российская компания (численность сотрудников в России свыше 500 чел.);Образовательный сектор;Финансы и Бухгалтерия;Меньше года назад/ но более 2-месяцев назад;Сервис для видеоинтервью;Сомнительно/ поскольку возможность объективной оценки ответа несколько исключена. ;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Если компания предлагает только такой формат подачи отклика/ я отказываюсь от отправки резюме;1;Не пользуюсь социальными сетями для поиска работы;Отрицательно;Нейтрально;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора;Затрудняюсь ответить;1
Женский;25–31;Южный ФО / Северо-Кавказский ФО / Крым;Женат/замужем;3-е детей;Магистратура;Уволился(-ась) по собственному желанию;От 3-х лет до 5-ти лет;Специалист;Не работал(-а) в организациях;Образовательный сектор;Преподавание;Более 4-х лет назад;Никакими;Затрудняюсь ответить;Наблюдаю много ошибок и неточностей в работе чат-бота;Такой формат вполне устраивает;1;Не пользуюсь социальными сетями для поиска работы;Нейтрально;Положительно;Нет;Затрудняюсь ответить;Делают процесс подбора более увлекательным;Нет минусов;3
Женский;25–31;Южный ФО / Северо-Кавказский ФО / Крым;Женат/замужем;3-е детей;Специалитет;Я еще только учусь/ не работал(-а);До 1 года;Я еще только учусь/ не работал(-а);Не работал(-а) в организациях;Не работал(-а);Не работал(-а);Никогда не проходил(-а) отбор в компанию;Никакими;Затрудняюсь ответить;Затрудняюсь ответить;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;3;Instagram/ Не пользуюсь социальными сетями для поиска работы;Нейтрально;Отрицательно;Нет;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;3
Мужской;32–38;Москва и МО;Женат/замужем;3-е детей;Специалитет;Работаю в компании (полная занятость);От 7-ми лет до 9-ти лет;Собственник бизнеса;Российская компания (численность сотрудников в России до 100 чел.);Консалтинг;Маркетинг / PR / Реклама/ Digital;Более 4-х лет назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя);Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером/ Инструмент полезный/ но компании неуместно его применяют;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;2;Facebook;Положительно;Отрицательно;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора;Ускоряют процесс подбора;Нет минусов;3
Женский;32–38;Москва и МО;Женат/замужем;3-е детей;Аспирантура;Уволился(-ась) по собственному желанию;От 7-ми лет до 9-ти лет;Специалист;Российская компания (численность сотрудников в России свыше 500 чел.);Медицинское оборудование;Продажи;Меньше года назад/ но более 2-месяцев назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;2;Instagram;Нейтрально;Нейтрально;Нет;Затрудняюсь ответить;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Слишком сложны в использовании/ Затрудняюсь ответить;4
Женский;32–38;Уральский ФО;Женат/замужем;4 детей;Специалитет;Работаю в компании (полная занятость);От 9-ти лет до 11-ти лет;Специалист;Международная компания (численность сотрудников в России от 100 до 500 чел.);Нефть и газ;Проектирование и строительство / ИТР;Меньше года назад/ но более 2-месяцев назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя);Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;4;Не пользуюсь социальными сетями для поиска работы;Нейтрально;Нейтрально;Нет;Затрудняюсь ответить;Не вижу в них никаких плюсов для соискателя;Затрудняюсь ответить;3
Женский;32–38;Южный ФО / Северо-Кавказский ФО / Крым;Женат/замужем;3-е детей;Специалитет;Веду проекты на фрилансе;От 1 года до 3-х лет;Специалист;Международная компания (численность сотрудников в России свыше 500 чел.);Образовательный сектор;Продажи;Меньше года назад/ но более 2-месяцев назад;Никакими;Затрудняюсь ответить;Затрудняюсь ответить;Такой формат вполне устраивает;5;Instagram/ Telegram/ ВКонтакте;Положительно;Отрицательно;Нет;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;3
Женский;32–38;Уральский ФО;Женат/замужем;3-е детей;Бакалавриат;Работаю в компании (полная занятость);От 9-ти лет до 11-ти лет;Специалист;Российская компания (численность сотрудников в России до 100 чел.);Образовательный сектор;Преподавание;Более 4-х лет назад;Никакими;Затрудняюсь ответить;Затрудняюсь ответить;Такой формат вполне устраивает;1;Затрудняюсь ответить/ Не нахожусь в поиске;Положительно;Положительно;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Затрудняюсь ответить;2
Женский;39–45;Москва и МО;Женат/замужем;5 и более детей;Специалитет;Веду проекты на фрилансе;От 3-х лет до 5-ти лет;Собственник бизнеса;Не работал(-а) в организациях;Фармацевтическая отрасль;Производство;От 1 года до 2 лет назад;Никакими;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Инструмент полезный/ но компании неуместно его применяют;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;4;LinkedIn/ Telegram;Положительно;Отрицательно;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора;Никак не влияют на скорость трудоустройства;4
Женский;25–31;Южный ФО / Северо-Кавказский ФО / Крым;Состою в гражданском браке;Нет детей;Специалитет;Работаю в компании (полная занятость);От 7-ми лет до 9-ти лет;Руководитель отдела/подразделения;Российская компания (численность сотрудников в России до 100 чел.);Государственный сектор;Юриспруденция;Более 4-х лет назад;Сервисы для онлайн-оценки навыков и компетенций;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат вполне устраивает;1;Не пользуюсь социальными сетями для поиска работы;Нейтрально;Нейтрально;Нет;Затрудняюсь ответить;Ускоряют процесс подбора;Слишком сложны в использовании;3
Женский;25–31;Москва и МО;Не женат/ не замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 11-ти лет до 13-ти лет;Руководитель отдела/подразделения;Международная компания (численность сотрудников в России свыше 500 чел.);Финансовый сектор (банки/ страховые и инвестиционные компании);Развитие бизнеса;От 2-х лет до 4-х лет назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя);Занимают много времени/ не вижу в них пользы для соискателя;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;3;Не пользуюсь социальными сетями для поиска работы;Отрицательно;Отрицательно;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя;Не вижу в них никаких плюсов для соискателя;Никак не влияют на скорость трудоустройства/ Замедляют процесс трудоустройства/ Слишком сложны в использовании;3
